file_name,repo_name,file_path,file_url,commit_sha,p_language,actual_status,process_status
pom.xml,msanti04/ddf-yorktown-test,distribution/ddf-common/pom.xml,/msanti04/ddf-yorktown-test/blob/e6c312b144b19a7e66551060596687608e42d86a/distribution/ddf-common/pom.xml,e6c312b144b19a7e66551060596687608e42d86a,Maven POM,1,0
pom.xml,NewMoonFutureSolutions/tbuk-ob-api-token,pom.xml,/NewMoonFutureSolutions/tbuk-ob-api-token/blob/32faf2e04bf75761b5487336d0e05ba5cbd3828c/pom.xml,32faf2e04bf75761b5487336d0e05ba5cbd3828c,Maven POM,0,0
build.gradle,elastic/elasticsearch,x-pack/plugin/security/build.gradle,/elastic/elasticsearch/blob/df760fe2f9f1d888830170df2e7f610d46a4e20f/x-pack/plugin/security/build.gradle,df760fe2f9f1d888830170df2e7f610d46a4e20f,Gradle,1,0
pom.xml,meteorice/devilfish,pom.xml,/meteorice/devilfish/blob/ab0a0d58d0683e8465034fb823d76e88bd446ea6/pom.xml,ab0a0d58d0683e8465034fb823d76e88bd446ea6,Maven POM,0,0
pom.xml,no126leon/TinkDemo,pom.xml,/no126leon/TinkDemo/blob/6001be06944486f9a134f27ae152a962c87803e4/pom.xml,6001be06944486f9a134f27ae152a962c87803e4,Maven POM,0,0
pom.xml,apache/james-project,server/blob/blob-objectstorage/pom.xml,/apache/james-project/blob/37cfbf3fe9c1ab0f29ff317faf3c4b8a0f7f049e/server/blob/blob-objectstorage/pom.xml,37cfbf3fe9c1ab0f29ff317faf3c4b8a0f7f049e,Maven POM,1,0
pom.xml,rahul4talk/Auth,pom.xml,/rahul4talk/Auth/blob/7aeeeb65d8862a8d8b43c34413660a2aa351813e/pom.xml,7aeeeb65d8862a8d8b43c34413660a2aa351813e,Maven POM,1,0
pom.xml,xgyb12458/dm-platform,dm-media/dm-media-domain/pom.xml,/xgyb12458/dm-platform/blob/0d28a5b1d3293387d82d15a4211a31372eb7910b/dm-media/dm-media-domain/pom.xml,0d28a5b1d3293387d82d15a4211a31372eb7910b,Maven POM,1,0
build.gradle,xiaohai-pig/elasticsearch,x-pack/plugin/security/build.gradle,/xiaohai-pig/elasticsearch/blob/d3062ec1d73beb1f01d8f743ca5f7c1ce6df951e/x-pack/plugin/security/build.gradle,d3062ec1d73beb1f01d8f743ca5f7c1ce6df951e,Gradle,1,0
tink-android.pom.xml,smtcrms/tink,maven/tink-android.pom.xml,/smtcrms/tink/blob/fb59790cf99b6267ab9959d5cab9c73044ac72d7/maven/tink-android.pom.xml,fb59790cf99b6267ab9959d5cab9c73044ac72d7,XML,1,0
